necklaceSetName,necklaceImageLink,necklaceDescription,necklacePrice
White Blue Diamond Earring Pendant Necklace Set,https://img.faballey.com/Images/Product/ZNS00011/1.jpg,White Blue Diamond Earring Pendant Necklace Set, 2625
Gold Kundan Multicolor Stone Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00053/1.jpg,Gold Kundan Multicolor Stone Earring Necklace Set, 2000
Gold Kundan Green Drop Double Orb Earring Necklace Set  ,https://img.faballey.com/Images/Product/ZNS00038/1.jpg,Gold Kundan Green Drop Double Orb Earring Necklace Set, 2250
Dual Gold Kundan Pearl Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00056/1.jpg,Dual Gold Kundan Pearl Earring Necklace Set, 2000
Gold Green Kundan Bead Drop Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00018/1.jpg,Gold Green Kundan Bead Drop Earring Necklace Set, 3750
Gold Kundan Pearl Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00044/1.jpg,Gold Kundan Pearl Earring Necklace Set, 2375
White Diamond Aqua Drop Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00013/1.jpg,White Diamond Aqua Drop Earring Necklace Set, 2450
Gold Kundan Red Drop Meena Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00054/1.jpg,Gold Kundan Red Drop Meena Earring Necklace Set, 2250
Gold Leaf Kundan Double Pearl Earrings Necklace Set   ,https://img.faballey.com/Images/Product/ZNS00045/1.jpg,Gold Leaf Kundan Double Pearl Earrings Necklace Set, 1750
Gold Green Kundan Floral Pendant Necklace Set,https://img.faballey.com/Images/Product/ZNS00063/1.jpg,Gold Green Kundan Floral Pendant Necklace Set, 2100
White Blue Diamond Drop String Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00031/1.jpg,White Blue Diamond Drop String Earring Necklace Set, 2875
Blue Bead Kundan Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00050/1.jpg,Blue Bead Kundan Earring Necklace Set, 1750
Gold Kundan Tukdi Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00007/1.jpg,Gold Kundan Tukdi Earring Necklace Set, 2500
Gold Maroon Kundan Floral Necklace Set,https://img.faballey.com/Images/Product/ZNS00058/1.jpg,Gold Maroon Kundan Floral Necklace Set, 2250
Gold Orb Kundan Double Pearl Earrings Necklace Set ,https://img.faballey.com/Images/Product/ZNS00051/1.jpg,Gold Orb Kundan Double Pearl Earrings Necklace Set, 1750
Rose Gold Plated  Crystal Necklace Set  ,https://img.faballey.com/Images/Product/ZNS00064/1.jpg,Rose Gold Plated Crystal Necklace Set, 2450
Dual Gold Kundan Green Bead Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00055/1.jpg,Dual Gold Kundan Green Bead Earring Necklace Set, 1750
Gold Red Kundan Bead Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00003/1.jpg,Gold Red Kundan Bead Earring Necklace Set, 1600
White Diamond Floral Bunch Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00032/1.jpg,White Diamond Floral Bunch Earring Necklace Set, 2750
Gold Kundan Aqua Stone Floral Pendant Necklace Set,https://img.faballey.com/Images/Product/ZNS00062/1.jpg,Gold Kundan Aqua Stone Floral Pendant Necklace Set, 1475
Gold Kundan Blue Bead Pearl Earring Necklace Set,https://img.faballey.com/Images/Product/ZNS00042/1.jpg,Gold Kundan Blue Bead Pearl Earring Necklace Set, 1750
Gold Kundan Multi Pearl String Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00048/1.jpg,Gold Kundan Multi Pearl String Earring Necklace Set, 2000
Gold Textured Contemporary Choker Necklace Set,https://img.faballey.com/Images/Product/ZNS00070/1.jpg,Gold Textured Contemporary Choker Necklace Set, 1100
Gold Kundan Blue Bead Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00041/1.jpg,Gold Kundan Blue Bead Earring Necklace Set, 1750
Gold Kundan Green Bead String Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00049/1.jpg,Gold Kundan Green Bead String Earring Necklace Set, 2000
Gold Kundan Cascade Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00039/1.jpg,Gold Kundan Cascade Earring Necklace Set, 2250
Gold Kundan Earring Pearl String Pendant Necklace Set ,https://img.faballey.com/Images/Product/ZNS00008/1.jpg,Gold Kundan Earring Pearl String Pendant Necklace Set, 1500
Gold Kundan Dual Pearl Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00052/1.jpg,Gold Kundan Dual Pearl Earring Necklace Set, 2000
Gold Kundan Green Drop Pearl Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00047/1.jpg,Gold Kundan Green Drop Pearl Earring Necklace Set, 1750
Silver Oxidized Green Stone Star Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00021/1.jpg,Silver Oxidized Green Stone Star Earring Necklace Set, 1750
Gold Kundan Pear Dainty Drop Earrings  Necklace Set ,https://img.faballey.com/Images/Product/ZNS00046/1.jpg,Gold Kundan Pear Dainty Drop Earrings Necklace Set, 1750
Gold Round Kundan Pearl Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00035/1.jpg,Gold Round Kundan Pearl Earring Necklace Set, 1750
Gold Kundan Mangtika Earring Necklace Set ,https://img.faballey.com/Images/Product/ZNS00002/1.jpg,Gold Kundan Mangtika Earring Necklace Set, 3500
